kpoint,band,spin,mag_order,energy,weight_tot,weight_s,weight_p,weight_d,weight_f
3.189148597,1,up,nonmagnetic,-53.122952593671826,0.9968889999999999,0.000288,0.9964879999999999,4.7e-05,6.6e-05
3.22155255,1,up,nonmagnetic,-53.14394255887191,0.996661,0.00028900000000000003,0.996259,3.5e-05,7.900000000000001e-05
3.253956503,1,up,nonmagnetic,-53.16377424421468,0.996448,0.00028199999999999997,0.996051,2.2e-05,9.300000000000001e-05
3.286360456,1,up,nonmagnetic,-53.18204173745485,0.996252,0.000267,0.995866,1.1e-05,0.00010800000000000001
3.318764409,1,up,nonmagnetic,-53.198377630458396,0.996078,0.00024700000000000004,0.995707,3e-06,0.000121
3.3511683619999997,1,up,nonmagnetic,-53.21245957714651,0.995928,0.00022200000000000003,0.995574,0.0,0.000132
3.383572315,1,up,nonmagnetic,-53.22401598067535,0.9958049999999999,0.000194,0.995468,3e-06,0.000139
3.415976268,1,up,nonmagnetic,-53.23283067379435,0.99571,0.000165,0.995389,1.4000000000000001e-05,0.00014199999999999998
3.4483802210000003,1,up,nonmagnetic,-53.23874618421263,0.9956459999999999,0.000135,0.995337,3.3e-05,0.00014
3.4807841739999996,1,up,nonmagnetic,-53.24166645573752,0.995613,0.00010700000000000001,0.9953120000000001,5.9999999999999995e-05,0.000133
3.513188127,1,up,nonmagnetic,-53.24155809999839,0.995611,8.2e-05,0.9953129999999999,9.4e-05,0.000122
3.54559208,1,up,nonmagnetic,-53.2384509678857,0.99564,5.9999999999999995e-05,0.995339,0.000134,0.00010700000000000001
3.5779960319999997,1,up,nonmagnetic,-53.23243749647775,0.9957,4.1e-05,0.995391,0.000178,8.9e-05
3.610399985,1,up,nonmagnetic,-53.22367110356894,0.9957879999999999,2.7000000000000002e-05,0.995468,0.000223,7.099999999999999e-05
3.642803938,1,up,nonmagnetic,-53.21236349374248,0.9959040000000001,1.6e-05,0.995569,0.000267,5.2000000000000004e-05
3.6752078910000003,1,up,nonmagnetic,-53.19878087598783,0.996044,9e-06,0.9956940000000001,0.000308,3.4e-05
3.7076118439999997,1,up,nonmagnetic,-53.18323906565112,0.996207,4e-06,0.99584,0.000342,2e-05
3.740015797,1,up,nonmagnetic,-53.166097552353065,0.9963879999999999,1e-06,0.996008,0.000368,1e-05
3.77241975,1,up,nonmagnetic,-53.14834247672302,0.996598,0.0,0.996207,0.000386,5e-06
3.8048237030000003,1,up,nonmagnetic,-53.131073586927016,0.9968319999999999,0.0,0.9964459999999999,0.000379,6e-06
