energy,mag_order,spin,dos
-12.57166034124,nonmagnetic,up,0.0
-12.5172375692,nonmagnetic,up,0.0
-12.46281479716,nonmagnetic,up,0.0
-12.40839202512,nonmagnetic,up,0.0
-12.35396925308,nonmagnetic,up,0.0
-12.29954648104,nonmagnetic,up,0.0
-12.245123709,nonmagnetic,up,0.0
-12.190700936959999,nonmagnetic,up,0.0
-12.13627816492,nonmagnetic,up,0.0
-12.08185539288,nonmagnetic,up,0.0
-12.027432620839999,nonmagnetic,up,0.0
-11.9730098488,nonmagnetic,up,0.0
-11.91858707676,nonmagnetic,up,0.0
-11.86416430472,nonmagnetic,up,0.0
-11.80974153268,nonmagnetic,up,0.0
-11.75531876064,nonmagnetic,up,0.0
-11.7008959886,nonmagnetic,up,0.0
-11.646473216559999,nonmagnetic,up,0.0
-11.59205044452,nonmagnetic,up,0.0
-11.53762767248,nonmagnetic,up,0.0
-11.483204900439999,nonmagnetic,up,0.0
-11.4287821284,nonmagnetic,up,0.0
-11.37435935636,nonmagnetic,up,0.0
-11.319936584319999,nonmagnetic,up,0.0
-11.265513812279998,nonmagnetic,up,0.0
-11.21109104024,nonmagnetic,up,0.0
-11.156668268199999,nonmagnetic,up,0.0
-11.102245496159998,nonmagnetic,up,0.0
-11.04782272412,nonmagnetic,up,0.0
-10.99339995208,nonmagnetic,up,0.0
-10.93897718004,nonmagnetic,up,0.0
-10.884554408,nonmagnetic,up,0.0
-10.83013163596,nonmagnetic,up,0.0
-10.77570886392,nonmagnetic,up,0.0
-10.72128609188,nonmagnetic,up,0.0
-10.666863319840001,nonmagnetic,up,0.0
-10.6124405478,nonmagnetic,up,0.0
-10.55801777576,nonmagnetic,up,0.0
-10.50359500372,nonmagnetic,up,0.0
-10.44917223168,nonmagnetic,up,0.0
-10.39474945964,nonmagnetic,up,0.0
-10.3403266876,nonmagnetic,up,0.0
-10.28590391556,nonmagnetic,up,0.0
-10.23148114352,nonmagnetic,up,0.0
-10.17705837148,nonmagnetic,up,0.0
-10.122635599439999,nonmagnetic,up,0.0
-10.0682128274,nonmagnetic,up,0.0
-10.01379005536,nonmagnetic,up,0.0
-9.959367283319999,nonmagnetic,up,0.0
-9.90494451128,nonmagnetic,up,0.0
-9.85052173924,nonmagnetic,up,0.0
-9.796098967199999,nonmagnetic,up,0.0
-9.741676195159998,nonmagnetic,up,0.0
-9.68725342312,nonmagnetic,up,0.0
-9.632830651079999,nonmagnetic,up,0.0
-9.578407879039998,nonmagnetic,up,0.0
-9.523985107,nonmagnetic,up,0.0
-9.469562334959999,nonmagnetic,up,0.0
-9.415139562919999,nonmagnetic,up,0.0
-9.36071679088,nonmagnetic,up,0.0
-9.306294018840001,nonmagnetic,up,0.0
-9.2518712468,nonmagnetic,up,0.0
-9.19744847476,nonmagnetic,up,0.0
-9.143025702720001,nonmagnetic,up,0.0
-9.08860293068,nonmagnetic,up,0.0
-9.03418015864,nonmagnetic,up,0.0
-8.9797573866,nonmagnetic,up,0.0
-8.92533461456,nonmagnetic,up,0.0
-8.87091184252,nonmagnetic,up,0.0
-8.81648907048,nonmagnetic,up,0.0
-8.76206629844,nonmagnetic,up,0.0
-8.7076435264,nonmagnetic,up,0.0
-8.65322075436,nonmagnetic,up,0.0
-8.598797982319999,nonmagnetic,up,0.0
-8.54437521028,nonmagnetic,up,0.0
-8.48995243824,nonmagnetic,up,0.0
-8.435529666199999,nonmagnetic,up,6.734540190834425e-05
-8.38110689416,nonmagnetic,up,0.0021798643254115286
-8.32668412212,nonmagnetic,up,0.005632202298969849
-8.272261350079999,nonmagnetic,up,0.010016742410682983
-8.21783857804,nonmagnetic,up,0.012965762116662663
-8.163415806,nonmagnetic,up,0.01547526446431265
-8.10899303396,nonmagnetic,up,0.017467270562795095
-8.054570261919999,nonmagnetic,up,0.019721569280064185
-8.00014748988,nonmagnetic,up,0.021422926802462085
-7.945724717839999,nonmagnetic,up,0.023145551293752148
-7.8913019457999996,nonmagnetic,up,0.024379035496847508
-7.836879173759999,nonmagnetic,up,0.02561251969994287
-7.782456401719999,nonmagnetic,up,0.027228809346772114
-7.728033629679999,nonmagnetic,up,0.029079035651415158
-7.673610857639999,nonmagnetic,up,0.030518100555026417
-7.6191880856,nonmagnetic,up,0.032332881913965814
-7.564765313560001,nonmagnetic,up,0.0326306194784561
-7.51034254152,nonmagnetic,up,0.03441704487642266
-7.45591976948,nonmagnetic,up,0.03492036314510377
-7.401496997440001,nonmagnetic,up,0.036749322480854656
-7.3470742254,nonmagnetic,up,0.03873423960195615
-7.29265145336,nonmagnetic,up,0.040031524715402944
-7.23822868132,nonmagnetic,up,0.041094873160011126
-7.18380590928,nonmagnetic,up,0.04189592897480788
-7.12938313724,nonmagnetic,up,0.04275369674829963
-7.0749603652,nonmagnetic,up,0.044731524851595934
-7.02053759316,nonmagnetic,up,0.04560347058719944
-6.96611482112,nonmagnetic,up,0.04740407398035214
-6.91169204908,nonmagnetic,up,0.04857375725104649
-6.8572692770399994,nonmagnetic,up,0.049594571772570074
-6.802846505,nonmagnetic,up,0.05104781465299282
-6.74842373296,nonmagnetic,up,0.051792158582593215
-6.6940009609199995,nonmagnetic,up,0.05372745276280491
-6.63957818888,nonmagnetic,up,0.054422173751515514
-6.585155416839999,nonmagnetic,up,0.05642126883472876
-6.5307326448,nonmagnetic,up,0.057342837474472746
-6.47630987276,nonmagnetic,up,0.05951206832352305
-6.421887100719999,nonmagnetic,up,0.06049034892196204
-6.367464328680001,nonmagnetic,up,0.06118506991067263
-6.31304155664,nonmagnetic,up,0.0632266989169705
-6.2586187846,nonmagnetic,up,0.06497059038817753
-6.20419601256,nonmagnetic,up,0.06718944414136829
-6.14977324052,nonmagnetic,up,0.06778491928504861
-6.0953504684799995,nonmagnetic,up,0.06944374287333711
-6.04092769644,nonmagnetic,up,0.07067013806597713
-5.9865049244,nonmagnetic,up,0.07190362227642236
-5.93208215236,nonmagnetic,up,0.07443439160031438
-5.87765938032,nonmagnetic,up,0.07612157114957571
-5.823236608279999,nonmagnetic,up,0.07909894679447865
-5.76881383624,nonmagnetic,up,0.07975822284116052
-5.7143910642,nonmagnetic,up,0.08285611134776001
-5.659968292159999,nonmagnetic,up,0.08468507066513624
-5.60554552012,nonmagnetic,up,0.08747104360103448
-5.551122748079999,nonmagnetic,up,0.0896828084099187
-5.49669997604,nonmagnetic,up,0.09224193365803422
-5.442277204,nonmagnetic,up,0.09462383419600617
-5.38785443196,nonmagnetic,up,0.09685686594805802
-5.3334316599200005,nonmagnetic,up,0.10020995806666375
-5.27900888788,nonmagnetic,up,0.1032724015944852
-5.22458611584,nonmagnetic,up,0.10741946054683178
-5.1701633438,nonmagnetic,up,0.11027632340353681
-5.11574057176,nonmagnetic,up,0.11397677599812316
-5.061317799719999,nonmagnetic,up,0.11731569015461714
-5.00689502768,nonmagnetic,up,0.12292308096844234
-4.95247225564,nonmagnetic,up,0.12768688204438622
-4.8980494835999995,nonmagnetic,up,0.13459864698946344
-4.84362671156,nonmagnetic,up,0.13836290048705135
-4.789203939519999,nonmagnetic,up,0.1475573201250702
-4.7347811674799996,nonmagnetic,up,0.15323560082295287
-4.68035839544,nonmagnetic,up,0.16486863288414003
-4.6259356234,nonmagnetic,up,0.17362353514545453
-4.5715128513600005,nonmagnetic,up,0.1866814541260916
-4.51709007932,nonmagnetic,up,0.19873982556512204
-4.46266730728,nonmagnetic,up,0.22430981132360564
-4.40824453524,nonmagnetic,up,0.2602935229316923
-4.3538217632,nonmagnetic,up,0.32807135323568504
-4.2993989911599995,nonmagnetic,up,0.37242716165032747
-4.24497621912,nonmagnetic,up,0.4078153980044858
-4.19055344708,nonmagnetic,up,0.40447648392149044
-4.1361306750399995,nonmagnetic,up,0.4136283694526781
-4.081707903,nonmagnetic,up,0.4141671328949087
-4.027285130959999,nonmagnetic,up,0.4351434532330375
-3.9728623589199996,nonmagnetic,up,0.46213832587422166
-3.9184395868799995,nonmagnetic,up,0.5025951901144652
-3.8640168148399994,nonmagnetic,up,0.5349918728616089
-3.8095940428,nonmagnetic,up,0.5687071077021162
-3.75517127076,nonmagnetic,up,0.6029327498401348
-3.7007484987200003,nonmagnetic,up,0.6429146518718931
-3.64632572668,nonmagnetic,up,0.6986482884784714
-3.59190295464,nonmagnetic,up,0.7690632228221942
-3.5374801826,nonmagnetic,up,0.8514585498500822
-3.48305741056,nonmagnetic,up,0.8956158665379149
-3.4286346385199997,nonmagnetic,up,0.8418246131661029
-3.37421186648,nonmagnetic,up,0.7331716681148313
-3.31978909444,nonmagnetic,up,0.6178338063207558
-3.2653663224,nonmagnetic,up,0.5680194756944615
-3.2109435503599997,nonmagnetic,up,0.5347295800848001
-3.15652077832,nonmagnetic,up,0.5175387802609255
-3.10209800628,nonmagnetic,up,0.4758838770830094
-3.0476752342399998,nonmagnetic,up,0.42291494602817
-2.9932524622,nonmagnetic,up,0.3636793483700688
-2.93882969016,nonmagnetic,up,0.3293828163112435
-2.88440691812,nonmagnetic,up,0.30964706905436784
-2.8299841460799997,nonmagnetic,up,0.3931766343006735
-2.7755613740399996,nonmagnetic,up,0.656447532914018
-2.721138602,nonmagnetic,up,1.0805463403587408
-2.6667158299600002,nonmagnetic,up,1.4802590232042874
-2.61229305792,nonmagnetic,up,1.6133618933534941
-2.55787028588,nonmagnetic,up,1.5325474111957786
-2.50344751384,nonmagnetic,up,1.353500799001197
-2.4490247417999997,nonmagnetic,up,1.2588131639021891
-2.3946019697599996,nonmagnetic,up,1.215960221051614
-2.34017919772,nonmagnetic,up,1.1997193456447095
-2.2857564256800003,nonmagnetic,up,1.1953808841671052
-2.23133365364,nonmagnetic,up,1.198641819495235
-2.1769108816,nonmagnetic,up,1.1946436291818112
-2.12248810956,nonmagnetic,up,1.1655716826290496
-2.0680653375199998,nonmagnetic,up,1.1455736424851173
-2.0136425654799996,nonmagnetic,up,1.177736388967665
-1.9592197934399997,nonmagnetic,up,1.336175308133018
-1.9047970214,nonmagnetic,up,1.4600554025729853
-1.8503742493600002,nonmagnetic,up,1.5043403213608155
